OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,LATITUDE,LONGITUDE
212800094,USPS COLLECTION BOX - BLUE BOX,210 BORDER ST,BOSTON,MA,2128,42.37532442,-71.03983794
212800051,USPS COLLECTION BOX - BLUE BOX,200 TERMINAL B,BOSTON,MA,2128,42.381944,-71.057082
212800015,USPS COLLECTION BOX - BLUE BOX,113 CHELSEA ST,BOSTON,MA,2128,42.372775,-71.0353686
212800062,USPS COLLECTION BOX - BLUE BOX,50 MERIDAN ST,BOSTON,MA,2128,42.371093,-71.0392115
212800075,USPS COLLECTION BOX - BLUE BOX,50 MERIDAN ST,BOSTON,MA,2128,42.37109,-71.0392096
212800034,USPS COLLECTION BOX - BLUE BOX,50 MAVERICK SQ,BOSTON,MA,2128,42.370129,-71.0387599
212800016,USPS COLLECTION BOX - BLUE BOX,149 COTTAGE ST,BOSTON,MA,2128,42.369508,-71.0334263
212800017,USPS COLLECTION BOX - BLUE BOX,241 MAVERICK ST,BOSTON,MA,2128,42.368408,-71.0349064
212800010,USPS COLLECTION BOX - BLUE BOX,3 MCCORMACK SQ,BOSTON,MA,2128,42.364848,-71.0307984
221500021,USPS COLLECTION BOX - BLUE BOX,1101 COMMONWEALTH AVE,BOSTON,MA,2215,42.352007,-71.1252841
212800056,USPS COLLECTION BOX - EXPRESS,1 HARBORSIDE DR,BOSTON,MA,2128,42.362528,-71.0253577
212800074,USPS COLLECTION BOX - BLUE BOX,1 HARBORSIDE DR,BOSTON,MA,2128,42.362515,-71.0253524
221000086,USPS COLLECTION BOX - BLUE BOX,88 BLACK FALCON AVE,BOSTON,MA,2210,42.34432347,-71.02252945
